0|Oliver|Kennedy|0
1|Ying|Yang|1
2|Gokhan|Kul|0
3|Niccolo|Meneghetti|3
4|Wolfgang|Gatterbauer|4
5|William|Spoth|0
6|Bahareh Sadat|Arab|2
7|Eric S.|Chan|1
8|Dieter|Gawlick|1
9|Adel|Ghoneimy|1
10|Boris|Glavic|2
11|Beda|Hammerschmidt|1
12|Seokki|Lee|2
13|Zhen Hua|Liu|1
14|Xiang|Niu|2
15|D. Richard|Hipp|5
16|Stratos|Idreos|6
17|Amelie|Marian|7
18|Arnab|Nandi|8
19|Carmela|Troncoso|9
20|Eugene|Wu|10
21|Duc Thanh|Luong|0
22|Ting|Xie|0
23|Patrick|Coonan|0
24|Varun|Chandola|0
25|Shambhu|Upadhyaya|0
26|Said|Achmiz|NULL
27|Poonam|Kumari|0
28|Juliana|Freire|11
29|Heiko|Mueller|11
30|Vasudha|Krishnaswamy|1
31|Arindam|Nandi|1
32|Ronny|Fehling|12
33|Lukasz|Ziarek|0
